iter	Passed	Remaining
803	7760	1891
804	7770	1882
805	7781	1872
806	7792	1863
807	7804	1854
808	7813	1844
809	7823	1835
810	7832	1825
811	7843	1815
812	7853	1806
813	7862	1796
814	7873	1787
815	7883	1777
816	7892	1767
817	7902	1758
818	7913	1748
819	7923	1739
820	7933	1729
821	7944	1720
822	7954	1710
823	7964	1701
824	7974	1691
825	7983	1681
826	7992	1672
827	8002	1662
828	8010	1652
829	8020	1642
830	8029	1632
831	8038	1623
832	8048	1613
833	8057	1603
834	8067	1594
835	8076	1584
836	8085	1574
837	8094	1564
838	8103	1555
839	8113	1545
840	8122	1535
841	8131	1525
842	8140	1516
843	8151	1506
844	8161	1497
845	8171	1487
846	8181	1477
847	8191	1468
848	8201	1458
849	8210	1448
850	8220	1439
851	8229	1429
852	8239	1419
853	8249	1410
854	8259	1400
855	8268	1390
856	8279	1381
857	8289	1371
858	8298	1362
859	8307	1352
860	8316	1342
861	8325	1332
862	8334	1323
863	8343	1313
864	8352	1303
865	8361	1293
866	8370	1284
867	8379	1274
868	8389	1264
869	8398	1254
870	8407	1245
871	8416	1235
872	8425	1225
873	8434	1215
874	8442	1206
875	8451	1196
876	8460	1186
877	8470	1176
878	8479	1167
879	8488	1157
880	8497	1147
881	8506	1138
882	8515	1128
883	8525	1118
884	8535	1109
885	8544	1099
886	8554	1089
887	8563	1080
888	8573	1070
889	8582	1060
890	8592	1051
891	8603	1041
892	8612	1031
893	8622	1022
894	8631	1012
895	8641	1002
896	8650	993
897	8660	983
898	8670	974
899	8680	964
900	8689	954
901	8699	945
902	8708	935
903	8717	925
904	8725	915
905	8735	906
906	8744	896
907	8752	886
908	8761	877
909	8771	867
910	8780	857
911	8789	848
912	8798	838
913	8807	828
914	8816	818
915	8825	809
916	8834	799
917	8842	789
918	8852	780
919	8861	770
920	8870	760
921	8879	751
922	8888	741
923	8916	733
924	8925	723
925	8934	713
926	8944	704
927	8953	694
928	8962	684
929	8971	675
930	8979	665
931	8988	655
932	8997	646
933	9006	636
934	9015	626
935	9025	617
936	9034	607
937	9044	597
938	9054	588
939	9063	578
940	9072	568
941	9081	559
942	9090	549
943	9100	539
944	9109	530
945	9118	520
946	9127	510
947	9137	501
948	9147	491
949	9157	481
950	9165	472
951	9174	462
952	9184	452
953	9193	443
954	9202	433
955	9211	423
956	9220	414
957	9230	404
958	9240	395
959	9249	385
960	9258	375
961	9267	366
962	9276	356
963	9286	346
964	9294	337
965	9304	327
966	9313	317
967	9322	308
968	9331	298
969	9342	288
970	9352	279
971	9362	269
972	9372	260
973	9382	250
974	9391	240
975	9400	231
976	9409	221
977	9418	211
978	9428	202
979	9438	192
980	9448	182
981	9457	173
982	9467	163
983	9476	154
984	9485	144
985	9495	134
986	9503	125
987	9513	115
988	9521	105
989	9530	96
990	9539	86
991	9548	77
992	9557	67
993	9567	57
994	9575	48
995	9585	38
996	9594	28
997	9603	19
998	9614	9
999	9625	0
