MATCH ID,MATCH NO,DATE,TIME,HOME TEAM,AWAY TEAM,MATCH,VENUE,URL
1304060,14th,06-04-2022,7:30 PM,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders vs Mumbai Indians, 07:30 PM","MCA Stadium, Pune",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-mumbai-indians-14th-match-1304060/live-cricket-score
1304061,15th,07-04-2022,7:30 PM,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants vs Delhi Capitals, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-delhi-capitals-15th-match-1304061/live-cricket-score
1304062,16th,08-04-2022,7:30 PM,Punjab Kings,Gujarat Titans,"Punjab Kings vs Gujarat Titans, 07:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-gujarat-titans-16th-match-1304062/live-cricket-score
1304063,17th,09-04-2022,3:30 PM,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings vs Sunrisers Hyderabad, 03:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063/live-cricket-score
1304064,18th,09-04-2022,7:30 PM,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore vs Mumbai Indians, 07:30 PM","MCA Stadium, Pune",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-mumbai-indians-18th-match-1304064/live-cricket-score
1304065,19th,10-04-2022,3:30 PM,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders vs Delhi Capitals, 03:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065/live-cricket-score
1304066,20th,10-04-2022,7:30 PM,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals vs Lucknow Super Giants, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-lucknow-super-giants-20th-match-1304066/live-cricket-score
1304067,21st,11-04-2022,7:30 PM,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad vs Gujarat Titans, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-gujarat-titans-21st-match-1304067/live-cricket-score
1304068,22nd,12-04-2022,7:30 PM,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings vs Royal Challengers Bangalore, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-royal-challengers-bangalore-22nd-match-1304068/live-cricket-score
1304069,23rd,13-04-2022,7:30 PM,Mumbai Indians,Punjab Kings,"Mumbai Indians vs Punjab Kings, 07:30 PM","MCA Stadium, Pune",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-punjab-kings-23rd-match-1304069/live-cricket-score
1304070,24th,14-04-2022,7:30 PM,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals vs Gujarat Titans, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-gujarat-titans-24th-match-1304070/live-cricket-score
1304071,25th,15-04-2022,7:30 PM,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad vs Kolkata Knight Riders, 07:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071/live-cricket-score
